bytes_transferred,congestion_window
108040,20
108040,40
283240,76
728540,102
1022000,147
1933040,357
3560940,501
4928960,891
5710060,1397
6099880,2593
8289880,4309
10840500,1538
13335640,3021
15268680,3021
17734620,1569
20206400,2122
21670780,1485
22256240,1485
24665240,1502
26967660,1514
29223360,1524
31427960,1534
33581460,1543
35813800,1552
37992120,1561
39792300,921
40313520,1095
42982400,1108
44741700,1117
46369600,1125
47933260,1133
49561160,1140
51254760,1148
52882660,1155
54510560,1162
56204160,1168
57897760,1098
58353280,822
61155020,831
62327400,838
63564020,845
64736400,851
65973020,857
67209640,863
68446260,869
69682880,875
70985200,880
72221820,886
73524140,890
74760760,895
76063080,813
76452900,629
78537780,635
79448820,641
80359860,647
81270900,652
82181940,657
83158680,662
84069720,667
85046460,671
86023200,676
86999940,680
87976680,684
88953420,688
89930160,692
90906900,696
91949340,699
92926080,703
93968520,636
94489740,494
95922000,499
96573160,504
97288560,508
98069660,513
98785060,518
99500460,522
100281560,526
100996960,529
101778060,533
102559160,536
103340260,540
104055660,543
104836760,547
105617860,550
106464660,553
107245760,555
108026860,558
108807960,561
109654760,563
110435860,565
111282660,568
112129460,506
112584980,399
113691660,404
114212880,408
114798340,412
115383800,416
116034960,419
116620420,423
117205880,426
117857040,429
118442500,433
119093660,436
119679120,438
120330280,441
120981440,444
121632600,446
122218060,448
122869220,451
123520380,453
124171540,455
124822700,457
125473860,459
126189260,461
126840420,463
127491580,465
128142740,466
128858140,468
129509300,469
130160460,460
130681680,329
131528480,333
131984000,337
132439520,340
132960740,344
133416260,347
133937480,350
134458700,353
134979920,356
135435440,358
135956660,361
136477880,364
136999100,366
137520320,368
138105780,370
138627000,372
139148220,374
139669440,376
140190660,378
140776120,380
141297340,382
141818560,383
142404020,384
142925240,386
143510700,387
144031920,388
144617380,389
145202840,390
145724060,391
146309520,392
146894980,393
147416200,394
148001660,395
148587120,323
148781300,277
149628100,281
150017920,284
150407740,287
150797560,290
151253080,293
151642900,296
152098420,298
152488240,301
152943760,303
153333580,305
153789100,307
154244620,309
154700140,311
155089960,313
155545480,315
156001000,317
156456520,318
156912040,320
157367560,321
157823080,322
158344300,323
158799820,324
159255340,325
159710860,326
160166380,327
160621900,328
161143120,329
161598640,330
162054160,331
162575380,332
163030900,332
163486420,333
164007640,333
164463160,333
164918680,334
165439900,334
165895420,334
166416640,335
166806460,234
166870700,238
167651800,243
168041620,247
168367200,251
168692780,255
169082600,259
169472420,263
169862240,267
170252060,271
170641880,275
171031700,278
171421520,281
171811340,284
172201160,287
172590980,290
173046500,293
173436320,296
173891840,299
174281660,301
174737180,303
175127000,305
175582520,307
176038040,309
176493560,311
176883380,313
177338900,315
177794420,317
178249940,318
178705460,320
179160980,321
179616500,322
180137720,323
180593240,324
181048760,325
181504280,326
181959800,327
182415320,328
182936540,329
183392060,330
183847580,331
184368800,332
184824320,270
184888560,233
185735360,237
185995240,240
186385060,242
186710640,245
187036220,247
187426040,250
187751620,252
188141440,254
188467020,256
188856840,258
189246660,260
189636480,262
190026300,263
190351880,265
190741700,266
191131520,268
191521340,269
191911160,270
192300980,271
192690800,272
193080620,273
193470440,274
193860260,275
194250080,276
194639900,277
195029720,278
195419540,278
195809360,279
196264880,279
196654700,280
197044520,280
197434340,281
197824160,281
198279680,281
198669500,281
199059320,282
199449140,282
199904660,282
200294480,282
200684300,282
201074120,282
201529640,282
201919460,282
202309280,282
202699100,260
202958980,198
203544440,202
203804320,207
204064200,211
204389780,214
204649660,218
204975240,221
205300820,225
205626400,228
205951980,231
206277560,234
206603140,237
206928720,240
207254300,243
207644120,245
207969700,248
208295280,250
