bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,13
560640,26
591300,52
623420,104
687660,208
1476060,416
2452800,829
4835520,1658
6583140,3315
8205200,5179
11287260,1140
13780940,3651
15092020,1580
16417700,2556
19222360,1353
21634280,1799
23454900,1263
24665240,1264
27275720,1278
29451120,1288
31340360,1296
33229600,1305
35118840,1313
37008080,1321
38897320,1329
40786560,1336
42740040,1344
44629280,1351
46582760,1358
48536240,1173
48796120,954
51708820,964
53272480,973
54640500,980
56072760,987
57505020,994
58937280,1000
60369540,1006
61801800,1012
63234060,1018
64732020,1024
66164280,1030
67662240,1036
69160200,1041
70658160,1046
72156120,1051
72871520,735
72935760,740
75906860,748
77013540,754
78055980,760
79162660,766
80269340,771
81376020,776
82482700,782
83655080,787
84761760,791
85868440,797
87040820,801
88213200,806
89319880,810
90492260,814
91664640,818
92837020,822
94073640,826
95246020,829
96418400,822
97003860,583
98827400,589
99674200,594
100521000,599
101367800,604
102214600,609
103125640,614
103972440,619
104883480,623
105794520,627
106641320,631
107552360,635
108463400,639
109374440,643
110351180,646
111262220,650
112173260,653
113084300,656
114061040,659
115103480,662
116014520,665
116991260,667
117968000,670
118944740,673
119921480,675
120898220,518
121092400,476
122720300,481
123371460,486
124152560,490
124867960,494
125519120,498
126234520,502
126949920,506
127731020,510
128446420,513
129161820,516
129942920,520
130658320,523
131439420,526
132154820,528
132935920,531
133717020,534
134432420,536
135213520,539
135994620,541
136775720,543
137556820,545
138337920,547
139119020,549
139900120,551
140746920,553
141528020,555
142309120,556
143090220,557
143937020,559
144718120,560
145173640,392
145237880,396
146865780,401
147451240,404
148036700,408
148622160,412
149207620,415
149793080,419
150378540,422
151029700,425
151615160,428
152266320,431
152851780,434
153502940,436
154088400,439
154739560,441
155390720,444
155976180,446
156627340,448
157278500,450
157929660,452
158580820,454
159231980,456
159883140,458
160534300,459
161185460,460
161900860,461
162552020,463
163203180,464
163854340,465
164569740,466
165220900,467
165872060,468
166587460,469
167238620,470
167889780,471
168605180,472
169256340,394
169320580,332
170557200,336
171012720,339
171468240,343
171989460,346
172444980,349
172966200,352
173487420,355
174008640,358
174464160,361
174985380,363
175506600,366
176092060,368
176613280,370
177134500,372
177655720,375
178176940,376
178698160,378
179283620,380
179804840,382
180390300,383
180911520,385
181496980,386
182018200,388
182603660,389
183124880,390
183710340,391
184231560,392
184817020,393
185402480,394
185923700,395
186509160,396
187094620,397
187680080,397
188265540,398
188786760,398
189372220,399
189957680,399
190543140,400
191128600,400
191714060,400
192235280,400
192820740,401
193406200,280
193470440,285
194381480,290
194837000,295
195226820,300
195682340,305
196072160,309
196527680,314
196983200,318
197438720,322
197894240,326
198349760,330
198805280,334
199260800,337
199782020,341
200237540,344
200758760,347
201279980,350
201735500,353
202256720,357
202777940,360
203299160,362
203820380,364
204341600,367
204862820,369
205384040,371
205905260,373
206426480,375
207011940,377
207533160,379
208054380,381
208639840,383
209161060,384
209746520,386
210267740,387
210853200,388
211374420,389
211959880,390
212545340,391
213066560,392
213652020,393
214237480,394
214758700,395
215344160,396
215929620,397
216515080,398
217036300,391
217491820,278
218272920,282
218598500,285
219054020,288
219443840,291
219833660,294
220289180,297
220679000,299
221134520,302
221524340,304
221979860,307
222435380,309
222825200,311
223280720,313
223736240,315
224191760,317
224647280,319
225102800,320
225558320,322
226013840,323
226469360,324
226990580,326
227446100,327
227901620,328
228357140,329
228878360,330
229333880,331
229789400,332
