bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,13
560640,26
591300,52
623420,104
687660,208
1671700,416
2648440,832
4863260,1664
6602120,1245
8751240,1246
8815480,2179
11074100,1525
13538580,1534
15949040,1544
18182840,1553
20429780,1563
22691320,1573
24900300,1582
27123880,1591
28967860,1114
29683260,1116
32407620,1129
34231160,1139
35859060,1145
37486960,1153
39180560,1161
40808460,1168
42502060,1175
44195660,1182
45889260,1188
47582860,1195
49342160,1202
51035760,1208
52795060,1214
54554360,1220
56313660,1225
58072960,1104
58528480,863
61393000,872
62695320,879
63931940,886
65234260,892
66470880,898
67773200,904
69075520,910
70377840,916
71680160,921
73048180,927
74350500,932
75718520,937
77020840,942
78388860,947
79756880,951
81124900,956
82492920,960
83925180,964
85293200,968
86661220,853
87442320,681
89331560,687
90308300,693
91285040,699
92327480,704
93304220,710
94346660,714
95323400,719
96365840,724
97408280,729
98450720,734
99493160,738
100599840,743
101642280,747
102748960,751
103791400,755
104898080,759
106004760,762
107047200,766
108153880,769
109260560,772
110432940,775
111539620,778
112646300,781
113752980,784
114859660,786
116032040,675
116421860,553
118181160,558
118896560,564
119743360,568
120524460,573
121371260,578
122218060,582
122999160,586
123845960,590
124692760,594
125539560,599
126450600,602
127297400,606
128144200,609
129055240,613
129902040,616
130813080,619
131724120,622
132570920,625
133481960,628
134393000,631
135304040,633
136215080,635
137126120,637
138037160,640
138948200,642
139859240,644
140835980,646
141747020,648
142658060,649
143634800,651
144545840,636
145326940,457
146433620,462
147084780,467
147735940,471
148387100,476
149102500,480
149753660,484
150469060,487
151184460,491
151899860,494
152551020,498
153266420,501
153981820,504
154762920,507
155478320,510
156193720,513
156909120,516
157690220,518
158405620,520
159186720,523
159902120,525
160683220,527
161464320,529
162179720,531
162960820,533
163741920,535
164523020,536
165238420,538
166019520,539
166800620,541
167581720,542
168362820,543
169143920,544
169925020,545
170706120,546
171487220,547
172334020,548
173115120,549
173896220,513
174221800,386
175458420,390
175979640,394
176565100,398
177086320,402
177671780,405
178257240,409
178842700,412
179428160,415
180013620,418
180599080,421
181250240,424
181835700,427
182421160,429
183072320,432
183723480,434
184308940,436
184960100,438
185611260,440
186196720,442
186847880,444
187499040,446
188150200,448
188801360,450
189452520,451
190037980,452
190689140,454
191404540,455
192055700,456
192706860,457
193358020,458
194009180,459
194660340,460
195311500,461
195962660,462
196678060,463
197329220,463
197980380,464
198695780,464
199346940,465
199998100,465
200649260,466
201364660,466
202015820,466
202666980,454
203188200,326
204035000,330
204490520,334
204946040,337
205401560,341
205922780,344
206444000,347
206899520,350
207420740,353
207941960,356
208463180,358
208984400,360
209439920,363
209961140,365
210482360,367
211067820,369
211589040,371
212110260,373
212631480,375
213152700,377
213738160,379
214259380,380
214780600,381
215366060,383
215887280,384
216472740,385
216993960,386
217579420,387
218100640,388
218686100,389
219207320,390
219792780,391
220378240,392
220899460,392
221484920,393
222070380,393
222591600,394
223177060,394
223762520,395
224347980,395
224933440,395
225518900,395
226040120,396
226625580,396
227211040,396
227796500,396
228317720,396
228903180,396
229488640,396
230074100,396
230659560,396
231180780,396
231766240,363
232091820,278
232872920,283
233262740,288
233652560,293
234108080,298
234497900,303
234953420,307
235408940,312
235798760,316
236254280,320
236709800,324
237165320,328
237620840,331
238142060,335
238597580,338
239118800,342
239574320,345
240095540,348
240616760,351
241072280,354
241593500,356
242114720,359
242635940,361
243157160,364
243678380,366
244199600,368
244720820,370
245242040,372
