bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,10
560640,20
591300,40
617580,80
687660,159
1077480,318
1933040,636
3763880,1272
6059000,2543
7435780,4712
10250660,1360
12672800,3310
14464220,3310
15960720,1350
16611880,2317
18804800,1622
21317460,1135
23999480,1145
25952960,1155
27580860,1163
29274460,1171
30968060,1179
32531720,856
32595960,833
35559760,840
36796380,847
38033000,853
39205380,859
40442000,865
41678620,871
42980940,877
44217560,883
45454180,888
46756500,893
48058820,897
48644280,663
48708520,634
51574500,640
52485540,646
53396580,651
54307620,656
55284360,661
56195400,666
57172140,671
58148880,675
59125620,679
60102360,684
61079100,688
62055840,692
63032580,696
64075020,699
64726180,489
64790420,494
66809600,499
67460760,504
68176160,508
68957260,512
69672660,517
70388060,521
71169160,525
71884560,528
72665660,532
73446760,535
74227860,539
74943260,542
75724360,545
76505460,548
77286560,551
78133360,553
78914460,556
79695560,558
80476660,561
80802240,392
80802240,396
82691480,401
83212700,405
83798160,409
84383620,412
84969080,416
85554540,419
86205700,422
86791160,425
87376620,428
88027780,431
88613240,434
89264400,437
89915560,439
90501020,442
91152180,444
91803340,446
92454500,448
93105660,450
93756820,452
94342280,454
94993440,456
95644600,457
96360000,459
96881220,331
96881220,325
98117840,329
98573360,332
99028880,336
99550100,339
100005620,342
100526840,344
101048060,347
101503580,350
102024800,353
102546020,355
103067240,358
103522760,360
104043980,362
104565200,364
105086420,366
105607640,368
106193100,369
106714320,371
107235540,372
107756760,374
108342220,375
108863440,376
109384660,378
109970120,379
110491340,380
111012560,381
111598020,382
112119240,383
112704700,384
112898880,268
112963120,271
114199740,275
114589560,278
114979380,281
115369200,284
115759020,287
116148840,289
116604360,292
116994180,294
117449700,296
117839520,298
118295040,300
118684860,302
119140380,304
119595900,305
119985720,307
120441240,309
120896760,310
121352280,311
121807800,313
122263320,314
122653140,315
123108660,316
123564180,317
124019700,318
124475220,319
124930740,320
125451960,321
125907480,322
126363000,322
126818520,323
127274040,324
127729560,324
128185080,324
128640600,325
128966180,227
129030420,230
129941460,233
130267040,236
130592620,239
130918200,241
131308020,243
131633600,246
131959180,248
132349000,250
132674580,252
133064400,254
133389980,255
133779800,257
134169620,259
134559440,260
134949260,261
135274840,263
135664660,264
136054480,265
136444300,266
136834120,267
137223940,268
137549520,269
137939340,270
138329160,271
138718980,272
139108800,272
139498620,273
139888440,273
140278260,274
140668080,274
141123600,275
141513420,275
141903240,275
142293060,275
142682880,276
143072700,276
143462520,276
143852340,276
144242160,276
144631980,276
145021800,193
145086040,197
145737200,201
145997080,205
146322660,209
146582540,212
146908120,216
147168000,219
147493580,222
147819160,225
148144740,228
148470320,231
148795900,234
149121480,237
149447060,239
149772640,242
150162460,244
150488040,246
150813620,248
151203440,250
151529020,252
151918840,254
152244420,256
152634240,258
153024060,259
153413880,260
153803700,262
154129280,263
154519100,264
154908920,265
155298740,266
155688560,267
156078380,268
156468200,269
156858020,270
157183600,271
157573420,272
157963240,273
158353060,273
158808580,274
159198400,274
159588220,274
159978040,275
160367860,275
160757680,275
161083260,192
161147500,195
161798660,198
162124240,200
162384120,202
162644000,204
162969580,206
163229460,208
163555040,210
163814920,212
164140500,214
164466080,215
164725960,217
165051540,218
165377120,219
165702700,221
166028280,222
166353860,223
166679440,224
166939320,225
167264900,226
167590480,227
167916060,228
168241640,229
168567220,229
