bytes_transferred,congestion_window
108040,20
108040,34
219000,70
438000,152
810300,304
1703820,608
3429540,1216
5840000,2432
7186120,4578
9933840,1404
12353060,3215
14089000,3216
16895120,1354
19308500,2262
21161240,2262
23489940,1583
26093120,1593
28248080,1604
30438080,1615
32709840,1625
35057520,1635
37348260,1645
39574760,1654
41906380,1663
44240920,1672
46536040,1680
48804880,1689
51104380,1697
53380520,1707
56665520,1010
58946040,1201
60378300,1210
62137600,1218
63896900,1226
65656200,1234
67415500,1242
69239040,1250
70998340,1258
72821880,1265
74645420,1272
76468960,1278
78292500,1285
80181740,1292
82070980,1299
83894520,1305
85783760,1311
87673000,1317
89562240,1322
91515720,1328
93404960,1333
95294200,1338
97247680,1344
99201160,1349
101154640,1354
103108120,1359
105061600,1363
107015080,1367
108968560,1371
110987740,1375
112941220,1379
114960400,1383
116913880,1387
118933060,1390
120952240,1394
122971420,1397
124990600,1400
127009780,1402
129028960,1406
131052520,1408
133090680,1411
135133220,1414
137180140,1416
139229980,1419
141284200,1421
143341340,1423
145401400,1425
147398680,1427
149463120,1429
151530480,1431
153600760,1432
155672500,1434
157747160,1435
159823280,1437
161902320,1438
163982820,1439
166064780,1440
168148200,1441
170233080,1442
172319420,1443
174407220,1444
176496480,1445
178587200,1446
180679380,1447
182773020,1447
184866660,1448
186896060,1448
188991160,1449
191087720,1449
193184280,1450
195282300,1450
197380320,1450
199478340,1451
201577820,1451
203677300,1451
205776780,1451
207876260,1451
209975740,1451
212075220,1451
214174700,1451
216274180,1451
218373660,1451
220473140,1451
222572620,1451
224672100,1451
226771580,1451
228871060,1451
230970540,1451
233070020,1451
235169500,1451
237268980,1451
239368460,1451
241467940,1452
243590780,1452
246236300,1452
248858460,1453
251563840,1453
253730480,1453
255897120,1454
258000980,1454
260104840,1455
262210160,1455
264315480,1456
266422260,1457
268530500,1458
270640200,1459
272751360,1459
274862520,1460
276975140,1461
279089220,1462
281204760,1463
283320300,1464
285437300,1466
287557220,1467
289678600,1468
291801440,1470
293927200,1472
296054420,1474
298186020,1476
300320540,1478
302457980,1480
304534100,1482
306677380,1484
308823580,1486
310971240,1489
313124740,1492
315282620,1495
317444880,1497
319610060,1500
321715380,1503
323889320,1507
326069100,1510
328187560,1513
330376100,1517
332570480,1521
334770700,1525
336911060,1528
339121500,1533
341339240,1537
343497120,1541
345726540,1546
347963260,1551
350141580,1555
352391440,1561
354584360,1566
356850280,1571
359126420,1577
361342700,1583
363633440,1589
365867240,1595
368174040,1601
370425360,1608
372751140,1615
375022900,1622
377304880,1630
380648280,1144
383141960,1162
384835560,1176
386529160,1189
388222760,1202
389916360,1214
391675660,1226
393434960,1238
395194260,1250
397017800,1261
398777100,1273
400600640,1284
402489880,1295
404379120,1305
406202660,1315
408091900,1325
410045380,1336
411934620,1345
413888100,1355
415841580,1364
417795060,1373
419748540,1382
421767720,1391
423721200,1399
425747680,1407
427784380,1415
429832760,1423
431892820,1431
433898860,1438
435979360,1445
438004380,1452
440105320,1460
442152240,1467
444273620,1473
446339520,1479
448478420,1486
450563300,1492
452656940,1498
454823580,1504
456998980,1509
459181680,1515
461307440,1520
463506200,1525
465646560,1531
467861380,1535
470016340,1540
472244300,1544
474478100,1548
476652040,1553
478898980,1557
481151760,1561
483344680,1564
485607680,1568
487876520,1572
490085500,1575
492364560,1578
494648000,1581
496935820,1585
499163780,1587
501458900,1590
503758400,1593
506062280,1595
508329660,1598
511607360,1119
513952120,1132
515580020,1141
517207920,1149
518901520,1157
520529420,1165
522223020,1171
523916620,1179
525610220,1186
527303820,1192
528997420,1199
530756720,1205
532516020,1212
534209620,1217
535968920,1223
537728220,1229
539487520,1235
541311060,1241
543070360,1246
544893900,1251
546653200,1256
548476740,1261
550300280,1265
552123820,1270
553947360,1274
555770900,1278
557660140,1282
559549380,1286
561372920,1290
563262160,1295
565085700,1299
566974940,1302
568864180,1305
570753420,1309
572642660,1311
574531900,1313
576421140,1316
578310380,1319
580199620,1321
582153100,1324
584042340,1326
585995820,1328
587885060,1330
589838540,1332
591727780,1334
593681260,1336
595570500,1338
597523980,1339
599477460,1341
601430940,1342
603320180,1344
605273660,1345
607227140,1346
609180620,1347
611134100,1348
613087580,1349
615041060,1350
616994540,1351
618948020,1352
620901500,1353
622854980,1354
624808460,1355
626761940,1356
628715420,1356
630668900,1357
632622380,1357
634575860,1357
636595040,1358
638548520,1358
640502000,1358
642455480,1359
644408960,1359
646362440,1359
648381620,1359
650335100,1359
652288580,1359
654242060,1359
656195540,1359
658214720,1359
660168200,1359
662121680,1359
664075160,1359
666028640,1359
668047820,1359
670001300,1359
671954780,1359
673908260,1359
675861740,1359
677880920,1359
679834400,1359
681787880,1359
683741360,1359
685694840,1359
687714020,1359
689667500,1359
691620980,1359
693574460,1360
697301840,1360
699497680,1360
701451160,1360
703404640,1361
705423820,1361
707377300,1362
709330780,1362
711284260,1363
713303440,1363
715256920,1364
717210400,1365
719163880,1365
721183060,1366
723136540,1367
725155720,1368
727109200,1369
729062680,1370
731081860,1371
733035340,1372
735054520,1373
737008000,1374
739027180,1377
740980660,1378
742999840,1380
744953320,1382
746972500,1384
748991680,1386
751010860,1388
752964340,1390
754983520,1392
757002700,1394
759021880,1397
761041060,1399
763060240,1402
765086720,1405
767120500,1408
769158660,1411
771201200,1414
773248120,1417
775299420,1419
777353640,1423
779348000,1426
781410980,1430
783479800,1434
785554460,1438
787634960,1442
789721300,1447
791814940,1451
793848720,1456
795955500,1461
798003880,1466
800123800,1471
802251020,1476
804321300,1482
806464580,1487
808550920,1493
810710260,1499
812814120,1505
814990980,1511
817110900,1518
819306740,1525
821447100,1532
823663380,1539
825824180,1546
828060900,1553
830242140,1561
832435060,1570
834706820,1577
836923100,1586
839152520,1594
841457860,1603
843712100,1612
845979480,1621
848276060,1632
851089480,1143
853701420,1160
855916240,1176
857544140,1190
859237740,1202
860997040,1215
862756340,1227
864515640,1239
866274940,1251
868034240,1262
869857780,1273
871681320,1284
873570560,1295
875394100,1306
877283340,1316
879172580,1327
881061820,1337
883015300,1346
884968780,1356
886922260,1365
888875740,1374
890829220,1383
892848400,1392
894801880,1400
896831280,1409
898870900,1417
900922200,1424
902918020,1432
904989760,1440
907073180,1447
909101120,1455
911140740,1461
913254820,1468
915313420,1475
917446480,1481
919524060,1487
921673180,1494
923833980,1499
925937840,1505
928114700,1511
930234620,1516
932427540,1521
934627760,1527
936771040,1532
938987320,1537
941145200,1542
943376080,1546
945612800,1550
947789660,1554
950038060,1558
952292300,1562
954486680,1566
956752600,1570
959024360,1573
961234800,1577
963516780,1580
965803140,1583
968093880,1586
970323300,1589
972621340,1592
974923760,1595
977230560,1597
979537360,1599
981844160,1602
984142200,1604
986389140,1606
988674040,1609
991959040,1010
994239560,1132
995671820,1140
997365420,1148
998993320,1156
1000621220,1163
1002314820,1171
1004008420,1179
1005702020,1186
1007395620,1193
1009089220,1200
1010848520,1206
1012607820,1213
1014301420,1219
1016060720,1225
1017820020,1231
1019643560,1236
1021402860,1242
