bytes_transferred,congestion_window
108040,20
108040,40
217540,74
439460,118
797160,236
1382620,357
2555000,506
3857320,993
5550920,1959
6983180,3632
9281220,4055
10837580,4866
13585300,1404
16005980,3423
17851420,3423
20453140,1483
22908860,2399
24709040,2399
27515160,1354
29928540,1689
31851360,1702
33987340,1712
36358380,1198
39066680,1207
41215800,1217
42975100,1225
44734400,1233
46493700,1241
48253000,1249
50076540,1257
51900080,1264
53723620,1271
55547160,1278
57370700,1285
59259940,1292
61083480,1298
62972720,1305
65447420,1312
67336660,1318
69225900,1324
71179380,1330
73068620,1335
75022100,1340
76911340,1345
78864820,1350
80818300,1355
82771780,1360
84725260,1365
86678740,1369
88632220,1374
90651400,1378
92604880,1381
94624060,1385
96643240,1389
98662420,1393
100615900,1396
102651140,1399
104676160,1402
106705560,1405
108739340,1408
110777500,1411
112820040,1414
114866960,1417
116918260,1419
118972480,1422
121031080,1424
123026900,1426
125089880,1428
127155780,1430
129224600,1432
131296340,1434
133371000,1436
135448580,1437
137527620,1439
139609580,1440
141693000,1441
143777880,1443
145865680,1444
147954940,1445
150045660,1446
152137840,1447
154231480,1448
156260880,1449
158357440,1450
160455460,1451
162554940,1451
164654420,1452
166755360,1452
168856300,1453
170958700,1453
173061100,1454
175164960,1454
177268820,1454
179372680,1454
181476540,1455
183581860,1455
185687180,1455
187792500,1455
189897820,1455
192003140,1455
194108460,1455
196213780,1455
198319100,989
198644680,1018
201453720,1039
203213020,1052
204710980,1065
206208940,1076
207772600,1087
209336260,1098
210899920,1109
212527820,1120
214091480,1131
215719380,1141
217347280,1151
219040880,1161
220668780,1171
222362380,1180
224055980,1190
225749580,1198
227508880,1207
229202480,1216
230961780,1224
232721080,1233
234480380,1240
236303920,1248
238063220,1255
239886760,1263
241710300,1270
243533840,1277
245357380,1284
247246620,1291
249070160,1297
250959400,1304
252848640,1310
254737880,1316
256627120,1322
258516360,1328
260469840,1333
262359080,1339
264312560,1344
266201800,1349
268155280,1354
270108760,1358
272062240,1363
274081420,1368
276034900,1371
277988380,1376
280007560,1379
281961040,1384
283980220,1387
285999400,1391
287952880,1395
289986660,1398
292010220,1401
294038160,1404
296070480,1407
298107180,1410
300148260,1413
302193720,1416
304243560,1418
306296320,1420
308352000,1423
310412060,1425
312409340,1427
314473780,1430
316542600,1432
318614340,1434
320689000,1435
322765120,1437
324844160,1438
326924660,1440
329920580,1441
331986480,1442
334072820,1444
336162080,1445
338252800,1446
340344980,1447
342438620,1448
344533720,1449
346630280,1450
348728300,1451
350827780,1451
352927260,1452
355028200,1452
357129140,1453
359231540,1453
361333940,1454
363437800,1454
365541660,1454
367645520,1454
369879320,1455
372330660,1455
374630160,1455
376865420,1455
379034980,1455
381204540,1455
383309860,1455
385415180,1455
387520500,1455
389625820,1455
391731140,1455
393899240,1455
396004560,1455
398109880,1455
400215200,1455
402320520,1455
404425840,1455
406531160,1455
408636480,1455
410741800,1455
412847120,1455
414952440,1455
417057760,1455
419163080,1455
421268400,1455
423373720,1455
425479040,1455
427584360,1456
429691140,1456
431797920,1456
433904700,1457
436012940,1457
438121180,1458
440230880,1458
442340580,1020
442926040,1020
445773040,1040
447466640,1053
448964600,1066
450528260,1077
452026220,1089
453589880,1100
455153540,1111
456781440,1122
458345100,1133
459973000,1146
461666600,1153
463294500,1166
464988100,1173
466616000,1183
468375300,1193
470068900,1201
471762500,1209
473521800,1218
475281100,1226
477040400,1234
478799700,1243
480623240,1250
482382540,1258
484206080,1265
486029620,1272
487853160,1280
489676700,1287
491565940,1294
493455180,1301
495278720,1307
497167960,1313
499057200,1319
501010680,1324
502899920,1330
504789160,1337
506742640,1342
508696120,1347
510585360,1352
512538840,1357
514492320,1362
516445800,1367
518464980,1370
520418460,1374
522437640,1378
524391120,1382
526410300,1387
528363780,1391
530385880,1394
532405060,1398
534427160,1401
536455100,1404
538487420,1407
540524120,1410
542565200,1413
544610660,1416
546660500,1418
548713260,1421
550770400,1423
552830460,1426
554829200,1428
556895100,1430
558963920,1432
561035660,1434
563110320,1436
565187900,1438
567268400,1440
569351820,1441
571436700,1443
573524500,1444
575613760,1445
577704480,1446
579796660,1447
581890300,1448
583919700,1449
586016260,1450
588114280,1451
590213760,1452
592314700,1453
594417100,1454
596520960,1455
598626280,1455
600731600,1456
602838380,1456
604945160,1456
607051940,1457
609160180,1457
611268420,1457
613376660,1458
615486360,1458
617596060,1458
619705760,1458
621815460,1458
623947060,1458
627318200,1458
629705300,1458
631944940,1458
634118880,1458
636292820,1458
638402520,1458
640512220,1458
642621920,1458
644731620,1458
646841320,1458
648951020,1458
651060720,1458
653170420,1458
655280120,1458
657389820,1458
659499520,1458
661609220,1458
663718920,1458
665828620,1458
667938320,1458
670048020,1458
672157720,1459
674268880,1459
676380040,1459
678491200,1460
680603820,1460
680929400,745
680993640,1022
683744280,1043
685437880,1057
686935840,1070
688499500,1081
689997460,1092
691561120,1103
693189020,1115
694752680,1125
696380580,1136
698008480,1146
699636380,1156
701329980,1166
702957880,1175
704651480,1185
706345080,1194
708104380,1203
709797980,1211
711557280,1220
713316580,1228
715075880,1236
716835180,1244
718658720,1252
720418020,1260
722241560,1268
724065100,1275
725888640,1282
727777880,1289
729601420,1295
731490660,1302
733379900,1309
735269140,1315
737158380,1321
739047620,1327
740936860,1332
742890340,1338
744843820,1343
746733060,1348
748686540,1353
750640020,1358
752593500,1363
754546980,1368
756566160,1372
758519640,1377
760473120,1381
762492300,1385
764511480,1389
766530660,1393
768484140,1396
770520840,1400
772547320,1403
774578180,1406
776613420,1409
778653040,1412
780697040,1415
782745420,1418
784798180,1420
786853860,1423
788913920,1425
790911200,1428
792977100,1431
796105880,1434
798291500,1436
800369080,1437
802448120,1439
804530080,1441
806614960,1442
808701300,1444
810790560,1445
812881280,1446
814973460,1448
817002860,1449
819099420,1450
821197440,1451
823296920,1452
825397860,1453
827500260,1454
829604120,1455
831709440,1456
833816220,1456
835923000,1457
838031240,1457
840139480,1458
842249180,1458
844358880,1459
846470040,1459
848581200,1459
850692360,1459
852803520,1460
854916140,1460
857028760,1460
859205620,1460
861589800,1460
863896600,1460
866073460,1460
868250320,1460
870427180,1460
872539800,1460
874652420,1460
876765040,1460
878877660,1460
880990280,1460
883102900,1460
885215520,1460
887328140,1460
889440760,1460
891553380,1460
893666000,1460
895778620,1460
897891240,1460
900003860,1460
902116480,1460
904229100,1460
906341720,1460
908454340,1460
910566960,1461
912681040,1461
914795120,1461
916909200,1462
919024740,1462
920943180,1023
921137360,1023
923961000,1044
925654600,1059
927152560,1071
928716220,1082
930279880,1094
931843540,1106
933407200,1117
934970860,1126
936598760,1137
938226660,1146
939920260,1157
941548160,1168
943241760,1176
944935360,1187
946628960,1195
948322560,1205
950081860,1214
951775460,1222
953534760,1231
955358300,1239
957117600,1247
958876900,1255
960700440,1262
962523980,1270
964347520,1277
966171060,1284
968060300,1291
969949540,1298
971773080,1304
973662320,1311
975551560,1316
977440800,1323
979330040,1329
981283520,1335
983172760,1340
985126240,1345
987079720,1350
989033200,1355
990986680,1360
992940160,1365
994893640,1370
996847120,1374
998866300,1379
1000819780,1383
1002838960,1387
1004858140,1391
1006811620,1395
1008848320,1398
1010871880,1402
1012901280,1405
1014935060,1408
1017119220,1412
1020010020,1416
1022106580,1419
1024160800,1422
1026219400,1424
1028215220,1427
1030279660,1429
1032347020,1431
1034417300,1434
1036491960,1436
1038569540,1438
1040650040,1439
1042732000,1441
1044816880,1443
1046904680,1444
1048993940,1446
1051086120,1447
1053179760,1448
1055209160,1449
1057305720,1451
1059405200,1452
1061506140,1453
1063608540,1454
1065712400,1455
1067817720,1456
1069924500,1457
1072032740,1458
1074142440,1458
1076252140,1459
1078363300,1459
1080474460,1460
1082587080,1460
1084699700,1461
1086748080,1461
1088862160,1461
1090976240,1461
1093090320,1462
1095205860,1462
1097321400,1462
1099436940,1462
1102552580,1462
1104687100,1462
1106802640,1462
1108918180,1462
1111033720,1462
1113149260,1462
1115264800,1462
1117380340,1462
1119495880,1462
1121611420,1462
1123726960,1462
1125842500,1462
1127958040,1462
1130073580,1462
1132189120,1462
1134304660,1462
1136420200,1462
1138535740,1462
1140651280,1462
1142766820,1462
1144882360,1462
1146997900,1462
1149113440,1463
1151228980,1463
1153344520,1463
