bytes_transferred,congestion_window
108040,20
108040,40
220460,70
421940,128
821980,304
1705280,608
3431000,1216
5841460,2432
7323360,3504
9673960,1670
12047920,1596
14420420,1725
16719920,1207
19441360,1213
21656180,1222
23415480,1230
25174780,1238
26934080,1246
28757620,1254
30516920,1262
32340460,1270
34164000,1277
36053240,1284
37876780,1291
39766020,1298
41655260,1305
43478800,1311
45368040,1317
47321520,1323
49210760,1329
51100000,1335
53053480,1341
54942720,1347
56896200,1352
58849680,1357
60803160,1362
62756640,1367
64775820,1371
66729300,1376
68682780,1380
70701960,1385
72721140,1388
74674620,1392
76698180,1396
78718820,1400
80745300,1404
82777620,1407
84814320,1410
86855400,1413
88900860,1416
90950700,1419
93004920,1422
95063520,1425
97060800,1428
99126700,1430
101195520,1433
103268720,1435
105344840,1437
107423880,1439
109505840,1441
111590720,1443
113678520,1445
115769240,1447
117862880,1448
119892280,1450
121990300,1451
124089780,1453
126192180,1454
128296040,1455
130401360,1456
132508140,1457
134616380,1458
136726080,1459
138837240,1460
140949860,1461
142998240,1462
145113780,1462
147229320,1463
149344860,1463
151460400,1464
153577400,1464
155694400,1465
157812860,1465
159931320,1465
162049780,1466
164169700,1466
166289620,1466
168409540,1466
170552820,1466
172697560,1466
174817480,1466
177157860,1466
179343480,1466
181529100,1466
183649020,1466
185768940,1466
187888860,1466
190140180,1466
192416320,1466
194756700,1466
196967140,1466
199609740,1466
201845000,1466
204030620,1466
206216240,1466
208336160,1466
210520320,1466
212640240,1466
214760160,1466
216880080,1466
218998540,1466
221118460,1467
223239840,1467
225361220,1467
227481140,1467
229602520,1468
231725360,1468
233846740,1469
235971040,1469
238095340,1470
240221100,1470
242346860,1471
244474080,1472
246602760,1472
248731440,1473
250861580,1474
252993180,1475
255126240,1476
257260760,1477
259396740,1478
261534180,1479
263673080,1480
265813440,1482
267956720,1483
270101460,1485
272184880,1487
274335460,1488
276487500,1490
278642460,1492
280800340,1494
282961140,1496
285124860,1498
287227260,1501
289398280,1503
291572220,1505
293683380,1054
294008960,1059
296835520,1078
298594820,1091
300158480,1103
301722140,1115
303350040,1127
304913700,1139
306541600,1150
308235200,1161
309863100,1171
311556700,1182
313250300,1193
314943900,1202
316703200,1212
318462500,1222
320156100,1232
321979640,1241
323738940,1250
325562480,1259
327321780,1267
329145320,1276
330968860,1283
332858100,1291
334747340,1299
336570880,1307
338460120,1315
340413600,1322
343149640,1332
345038880,1339
346992360,1346
348945840,1352
350899320,1358
353244080,1365
355197560,1371
357216740,1377
359170220,1382
361189400,1388
363142880,1393
365170820,1398
367194380,1403
369225240,1408
371263400,1413
373308860,1417
375360160,1421
377417300,1426
379416040,1429
381483400,1433
383555140,1437
385634180,1441
387719060,1445
389809780,1448
391839180,1451
393938660,1454
396042520,1457
398150760,1460
400263380,1463
402314680,1466
404434600,1468
406557440,1471
408684660,1473
410750560,1475
412883620,1478
415021060,1480
417161420,1482
419304700,1484
421450900,1486
423535780,1487
425686360,1489
427839860,1490
429994820,1492
432152700,1493
434312040,1494
436472840,1495
438635100,1496
440798820,1497
442964000,1498
445079540,1499
447247640,1500
449417200,1501
451588220,1502
453760700,1503
455934640,1503
458108580,1504
460283980,1504
462459380,1504
464896120,1505
467056920,1505
469233780,1505
471476340,1506
473654660,1506
475898680,1506
478093060,1506
480271380,1506
482474520,1506
484652840,1506
486855980,1506
489034300,1506
491212620,1506
493407000,1506
495634960,1506
498204560,1506
500644220,1506
503083880,1506
505345420,1506
507589440,1506
509767760,1506
511946080,1506
514122940,1506
516301260,1506
518479580,1506
520657900,1506
522836220,1506
525014540,1506
527192860,1506
529371180,1506
531549500,1507
533729280,1507
535909060,1507
538088840,1507
540268620,1055
540854080,1055
543641220,1077
545464760,1091
547028420,1104
548592080,1116
550219980,1128
551783640,1140
553477240,1150
555105140,1161
556733040,1172
558426640,1183
560120240,1193
561879540,1202
563573140,1212
565332440,1222
567091740,1232
568851040,1241
570610340,1250
572433880,1259
574193180,1267
576016720,1276
577905960,1284
579729500,1293
581618740,1300
583507980,1308
585331520,1315
587285000,1323
589174240,1330
591063480,1337
593016960,1343
594906200,1350
596859680,1356
598813160,1362
600766640,1368
602785820,1374
604739300,1380
606758480,1385
608711960,1391
610731140,1396
612750320,1401
614769500,1406
616800360,1411
618842900,1415
620891280,1420
622946960,1424
624942780,1428
627008680,1433
629081880,1437
631160920,1440
633244340,1444
635333600,1447
637427240,1451
639461020,1454
641564880,1457
643673120,1460
645785740,1463
647837040,1466
649956960,1468
652079800,1471
654207020,1473
656272920,1476
658407440,1478
660544880,1480
662685240,1482
665246080,1485
667622960,1487
669904940,1489
672124140,1490
674279100,1492
676436980,1493
678596320,1494
680757120,1495
682919380,1497
685084560,1498
687251200,1499
689419300,1500
691588860,1501
693759880,1502
695932360,1503
698106300,1504
700281700,1504
702457100,1505
705400460,1505
707602140,1506
709780460,1506
711958780,1507
714138560,1507
716318340,1507
718498120,1507
720677900,1508
722859140,1508
725040380,1508
727221620,1508
729402860,1508
731584100,1508
733765340,1508
735946580,1508
738127820,1508
740309060,1508
742490300,1508
744671540,1508
746852780,1508
749034020,1508
751215260,1508
753396500,1508
755577740,1508
757758980,1508
759940220,1508
762121460,1508
764302700,1508
766483940,1508
768665180,1508
770846420,1508
773027660,1508
775208900,1508
777390140,1508
779571380,1509
781754080,1509
783936780,1509
786119480,1510
787846660,1057
788236480,1057
791001720,1080
792761020,1095
794324680,1108
795888340,1118
797516240,1131
799144140,1141
800772040,1153
802399940,1164
804093540,1175
805787140,1186
807480740,1196
809174340,1205
810933640,1215
812627240,1225
814386540,1235
816210080,1244
817969380,1253
819792920,1261
821616460,1270
823440000,1279
825263540,1287
827087080,1295
828976320,1303
830865560,1311
832754800,1318
834644040,1326
836533280,1333
838486760,1340
840376000,1346
842329480,1352
844282960,1359
847670160,1369
849623640,1375
851642820,1381
853596300,1386
855615480,1392
857634660,1397
859653840,1402
861673020,1407
863696580,1411
865739120,1416
867788960,1421
869846100,1425
871843380,1430
873912200,1434
875986860,1438
878067360,1441
880152240,1445
882177260,1448
884272360,1452
886373300,1455
888412920,1458
890521160,1461
892635240,1464
894752240,1467
896873620,1469
898997920,1472
901126600,1474
903193960,1477
905329940,1479
907468840,1481
909610660,1483
911755400,1485
913838820,1487
915989400,1489
918142900,1491
920299320,1493
922458660,1494
924619460,1495
926781720,1497
928946900,1498
931049300,1499
933217400,1500
935386960,1501
937557980,1502
939730460,1503
941904400,1504
944079800,1505
946256660,1506
948434980,1506
950613300,1507
952793080,1507
954972860,1508
957130740,1508
959288620,1509
961471320,1509
963654020,1509
965902420,1509
968109940,1510
970318920,1510
972527900,1510
974777760,1510
976986740,1510
979170900,1510
981379880,1510
983588860,1510
985773020,1510
987982000,1510
990182220,1510
992366380,1510
994534480,1510
996784340,1510
999098440,1510
1001818420,1057
1004517960,1071
1006145860,1084
1007709520,1097
1009273180,1109
1010836840,1121
1012464740,1133
1014092640,1144
1015720540,1155
1017348440,1166
1019042040,1177
1020735640,1187
1022429240,1198
1024122840,1208
1025882140,1218
1027641440,1227
1029400740,1236
1031160040,1246
1032983580,1255
1034742880,1264
1036566420,1272
1038389960,1281
1040279200,1289
1042102740,1297
1043991980,1305
1045881220,1312
1047770460,1319
1049659700,1327
1051548940,1334
1053502420,1340
1055391660,1347
1057345140,1354
1059298620,1360
1061252100,1366
1063205580,1372
1065224760,1378
1067178240,1384
1069197420,1389
1071216600,1395
1073170080,1400
1075217000,1405
1077250780,1410
1079291860,1415
1081340240,1419
1083394460,1424
1085455980,1428
1087467860,1432
1089539600,1436
1091617180,1440
1093700600,1444
1095789860,1447
1097883500,1451
1099917280,1454
1102021140,1457
1104129380,1460
1106176300,1463
1108291840,1466
1110411760,1014
1110737340,1027
1113523020,1041
1115282320,1049
1116780280,1058
1118278240,1065
1119841900,1072
1121405560,1079
1122903520,1085
1124467180,1092
1126095080,1098
1127658740,1104
1129222400,1110
1130850300,1116
1132413960,1122
1134041860,1127
1135669760,1132
1137297660,1137
1138925560,1142
1140619160,1147
1142247060,1152
1143874960,1156
1145568560,1160
1147262160,1165
1148890060,1169
1150583660,1173
1152277260,1177
1153970860,1180
1155730160,1184
1157423760,1187
1159117360,1191
1160810960,1194
1162570260,1197
1164263860,1200
