bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,26
560640,52
591300,96
689120,192
1219100,384
2295120,768
4447160,1535
6406480,1355
8295720,1356
8359960,1982
10618580,1387
13272860,1398
15620540,1407
17785720,1416
19899800,1425
21961320,1434
24035980,1443
26123780,1452
28159020,1460
30205940,1468
32328780,1476
34399060,1483
36479560,1491
38635980,1499
40739840,1506
42853920,1513
45042460,1520
47175520,1526
49383040,1533
51535080,1539
53767420,1545
55989540,1551
58233560,1557
60435240,1562
62879280,1569
65383180,1098
68142580,1105
69966120,1113
71529780,1121
73157680,1129
74785580,1136
76413480,1144
78041380,1151
79734980,1158
81362880,1165
83056480,1172
84750080,1178
86443680,1184
88137280,1191
89896580,1196
91590180,1202
93349480,1208
95043080,1214
96802380,1219
98561680,1224
100320980,1229
102080280,1234
103903820,1239
105663120,1243
107486660,1247
109245960,1252
111069500,1256
112893040,1260
114716580,1264
116540120,1267
118363660,1271
120187200,1274
122010740,1278
123834280,1281
125723520,1284
127547060,1287
129436300,1289
131325540,1292
133149080,1295
135038320,1298
136927560,1300
138816800,1302
140706040,1304
142529580,1306
144418820,1308
146308060,1310
148197300,1312
150086540,1314
152040020,1315
153929260,1317
155818500,1318
157707740,1319
159661220,1321
161550460,1322
163439700,1323
165393180,1324
167282420,1325
169171660,1326
171125140,1327
173014380,1328
174967860,1329
176857100,1329
178810580,1330
180699820,1330
182653300,1331
184542540,1331
186496020,1332
188449500,1332
190338740,1332
192292220,1332
194181460,1333
196134940,1333
198088420,1333
199977660,1333
201931140,1333
203884620,1333
205773860,1333
207727340,1333
209680820,1333
211570060,1333
213523540,1333
215477020,1333
217366260,1333
219319740,1333
221208980,1333
223162460,1333
225115940,1333
227005180,1333
228958660,1333
230847900,1333
232801380,1333
234754860,1333
236644100,1333
238597580,1333
240551060,1333
242440300,1333
244393780,1333
246283020,1334
248236500,1334
250189980,1334
252079220,1335
254032700,1335
255921940,1335
257875420,1336
259828900,1336
261718140,1337
263671620,1338
265625100,1338
267514340,1339
269467820,1340
271421300,1341
273374780,1342
275328260,1343
277217500,1344
279170980,1345
281124460,1346
283077940,1347
285031420,1348
286984900,1350
288938380,1351
290891860,1353
292845340,1354
294798820,1356
296752300,1358
298705780,1360
300659260,1362
302678440,1364
304631920,1366
306585400,1368
308670280,1371
310689460,1374
312838580,1376
314857760,1379
317006880,1382
319091760,1386
321110940,1389
323130120,1393
325149300,1396
327168480,1399
329209560,1403
331287140,1407
333306320,1411
335300680,1415
337347600,1419
339403280,1424
341486700,1428
343575960,1433
345655000,1438
347735500,1443
349804320,1448
351852700,1454
353959480,1459
356070640,1465
358192020,1471
360304640,1477
362440620,1483
364524040,1490
366613300,1496
368775560,1503
370888180,1510
373034380,1517
375294460,1525
377484460,1533
379636500,1541
381800220,1548
384107020,1557
386294100,1566
388560020,1574
390824480,1583
393116680,1592
395407420,1602
397740500,1612
400003500,1621
402335120,1631
404655060,1642
407096180,1653
409449700,1157
412191580,1174
414276460,1188
415970060,1201
417663660,1215
419422960,1227
421182260,1239
423005800,1252
424765100,1264
426588640,1276
428412180,1287
430301420,1298
432190660,1309
434014200,1320
435903440,1330
437856920,1341
439746160,1351
441699640,1361
443653120,1370
445606600,1380
447625780,1389
449644960,1398
451598440,1407
453671640,1415
455677680,1424
457737740,1432
459809480,1440
461916260,1448
463969020,1456
466075800,1463
468127100,1470
470188620,1477
472324600,1484
474537960,1492
476695840,1498
478798240,1505
480973640,1511
483159260,1516
485419340,1523
487731980,1529
490009580,1535
492230240,1540
494458200,1545
496693460,1550
498934560,1555
501184420,1560
503375880,1564
505638880,1568
507842020,1573
510118160,1577
512400140,1581
514622260,1585
516914460,1588
519211040,1592
521449220,1596
523757480,1599
526043840,1602
528360860,1605
530682260,1608
533016800,1611
