bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,79
814680,123
1172380,245
1887780,490
2994460,980
5600560,1960
6968580,3628
9034480,1519
9424300,2544
12147200,2544
13764880,1176
15443880,1784
17739000,1249
20454600,1259
22733660,1268
24557200,1277
26380740,1285
28269980,1293
30093520,1301
31982760,1309
33872000,1316
35761240,1324
37650480,1331
39603960,1338
41493200,1345
43446680,1352
45400160,1359
47353640,1365
49307120,1371
51260600,1377
53279780,1383
55233260,1389
57252440,1394
59271620,1400
61290800,1405
63323120,1410
65364200,1415
67346880,1419
69398180,1424
71458240,1429
73525600,1433
75598800,1437
77677840,1441
79762720,1445
81787740,1449
83884300,1452
85985240,1456
88092020,1459
90137480,1462
92253020,1465
94371480,1468
96430080,1471
98557300,1474
100691820,1477
102830720,1480
104971080,1482
107229700,1484
109375900,1486
111525020,1488
113677060,1490
115832020,1492
117925660,1494
120086460,1496
122250180,1498
124416820,1499
126584920,1501
128755940,1502
130928420,1503
133102360,1504
135213520,1505
137388920,1506
139567240,1507
141747020,1508
143928260,1509
146110960,1510
148295120,1511
150480740,1512
152667820,1513
154856360,1513
157044900,1514
159234900,1514
161424900,1515
163616360,1515
165807820,1515
168002200,1515
170193660,1516
172389500,1516
174607240,1516
176798700,1516
179276320,1516
181559760,1516
184037380,1516
186296000,1516
188488920,1516
190684760,1516
193007620,1516
195330480,1516
197551140,1516
199898820,1516
202182260,1516
204440880,1516
206633800,1516
208826720,1516
211019640,1516
213212560,1516
215405480,1516
217598400,1516
219791320,1516
221984240,1516
224175700,1516
226368620,1516
228561540,1517
230755920,1517
232948840,1517
235141760,1517
237334680,1518
239530520,1518
241726360,1519
243923660,1519
246120960,1520
248319720,1520
250518480,1521
252718700,1522
254920380,1522
257122060,1523
259325200,1524
261529800,1525
263760680,1526
265968200,1527
268177180,1528
270387620,1529
272599520,1530
274812880,1531
277027700,1533
279245440,1535
281466100,1536
283691140,1538
285916180,1540
288144140,1542
290375020,1544
292608820,1546
294848460,1548
297101240,1551
299475200,1553
301878360,1556
304285900,1559
306605840,1562
308928700,1565
311283680,1568
313616760,1571
316084160,1575
318439140,1578
320750320,1582
323064420,1586
325358080,1589
327656120,1593
329960000,1597
332269720,1602
334554620,1606
336813240,1611
339172600,1616
341496920,1621
343711740,1625
345998100,1631
348350160,1142
351108100,1158
353127280,1172
354820880,1186
356514480,1199
358208080,1211
359901680,1224
361660980,1236
363484520,1247
365243820,1259
367067360,1270
368890900,1281
370714440,1293
372603680,1303
374427220,1314
376316460,1324
378205700,1334
380159180,1344
382112660,1353
384001900,1363
385955380,1372
387974560,1381
389928040,1389
391947220,1398
393966400,1406
395985580,1414
398044180,1422
400037080,1430
402105900,1437
404184940,1445
406209960,1452
408310900,1459
410356360,1466
412476280,1472
414540720,1479
416679620,1485
418763040,1491
420919460,1497
423018940,1503
425192880,1508
427350760,1514
429540760,1519
431695720,1525
433836080,1530
436049440,1534
438202940,1539
440435280,1543
442670540,1548
444847400,1552
447130840,1556
449472680,1560
451820360,1564
454125700,1568
456419360,1572
458694040,1575
460973100,1578
463256540,1581
465478660,1584
467769400,1587
470063060,1590
472362560,1592
474600740,1595
476907540,1597
479217260,1600
481531360,1602
483848380,1604
486133280,1607
488575860,1609
490989240,1610
493326700,1612
496100700,1128
498839660,1139
500663200,1149
502291100,1157
503984700,1165
505678300,1173
507371900,1180
509065500,1187
510759100,1194
512452700,1201
514212000,1208
515905600,1214
517664900,1220
519424200,1226
521183500,1232
523007040,1238
524766340,1244
526525640,1250
528349180,1255
530172720,1260
531996260,1265
533819800,1270
535643340,1275
537466880,1279
539290420,1284
541179660,1288
543068900,1292
544892440,1296
546781680,1300
548670920,1304
550560160,1307
552383700,1311
554337180,1314
556226420,1317
558115660,1320
560004900,1323
561894140,1326
