bytes_transferred,congestion_window
108040,20
108040,40
312440,74
725620,118
1019080,236
1865880,382
2908320,589
4340580,1178
5772840,2326
7505860,1467
7505860,1467
9862300,1651
12185160,1670
14554740,1169
17286400,1176
19371280,1184
21064880,1191
22758480,1200
24517780,1208
26211380,1216
27970680,1223
29729980,1230
31489280,1238
33312820,1245
35072120,1251
36895660,1258
38719200,1265
40542740,1271
42366280,1277
44189820,1283
46079060,1289
47902600,1294
49791840,1300
51681080,1305
53570320,1310
55459560,1315
57348800,1320
59238040,1325
61127280,1329
63080760,1334
64970000,1338
66923480,1342
68876960,1346
70766200,1350
72719680,1354
74673160,1357
76626640,1360
78645820,1364
80599300,1367
82552780,1370
84506260,1373
86525440,1376
88478920,1378
90498100,1381
92517280,1383
94470760,1386
96489940,1388
98509120,1390
100528300,1392
102481780,1394
104522860,1396
106543500,1398
108567060,1400
110586240,1402
112621480,1403
114652340,1404
116684660,1405
118718440,1407
120753680,1408
122790380,1409
124830000,1410
126871080,1411
128913620,1412
130957620,1413
132937380,1414
135047080,1415
137029760,1415
139076680,1416
141125060,1416
143173440,1417
145223280,1417
147273120,1418
149324420,1418
151375720,1418
153427020,1418
155478320,1419
157531080,1419
159583840,1419
161636600,1419
163689360,1419
165742120,1419
167794880,1419
169847640,1419
171900400,1419
173953160,1419
176005920,1419
178058680,1419
180111440,1419
182164200,1419
184216960,1419
186269720,1419
188322480,1419
190375240,1419
192428000,1419
194480760,1419
196533520,1419
198586280,1419
200639040,1419
202691800,1419
204744560,1419
206797320,1419
208850080,1419
210902840,1420
212957060,1420
215011280,1420
217129740,1421
219329960,1421
221410460,1421
223425260,1422
225612340,1422
227669480,1423
229792320,1424
231852380,1424
234042380,1425
236363780,1426
238580060,1427
240774440,1428
242799460,1429
244999680,1430
247115220,1431
249185500,1432
251652900,1433
253867720,1434
255901500,1436
257979080,1437
260058120,1439
262140080,1441
264159260,1443
266247060,1445
268337780,1447
270431420,1449
272527980,1451
274627460,1453
276664160,1456
278770940,1458
280944880,1461
283058960,1463
285253340,1466
287358660,1469
289482960,1472
291611640,1476
293746160,1479
295820820,1483
297965560,1486
300114680,1490
302269640,1494
304366200,1498
306532840,1502
308705320,1506
310819400,1511
313005020,1516
315197940,1521
317335380,1526
319542900,1531
321692020,1536
323917060,1542
326147940,1547
328320420,1553
330567360,1559
332757360,1565
335021820,1572
337230800,1579
339515700,1585
341743660,1592
344046080,1599
346293020,1607
348553100,1614
350887640,1622
353169620,1630
355527520,1639
357930680,1646
360211200,1655
362647940,1158
365391280,1175
367540400,1190
369234000,1203
370993300,1216
372752600,1229
374576140,1241
376335440,1253
378158980,1265
379982520,1277
381871760,1289
383761000,1300
385650240,1311
387799360,1323
389688600,1334
391642080,1344
393531320,1354
395484800,1364
397438280,1373
399457460,1383
401410940,1392
403430120,1402
405449300,1410
407477240,1419
409531460,1427
411531660,1435
413607780,1443
415629880,1451
417729360,1458
419773360,1466
421829040,1473
423959180,1480
426035300,1487
428185880,1494
430282440,1500
432452000,1506
434628860,1513
436751700,1519
438949000,1524
441087900,1530
443301260,1536
445457680,1541
447687100,1547
449859580,1551
452103600,1556
454354920,1561
456547840,1566
458813760,1570
461019820,1575
463298880,1579
465583780,1583
467808820,1587
470103940,1590
472403440,1594
474644540,1598
476955720,1601
479271280,1604
481589760,1607
483849840,1610
486178540,1612
488510160,1616
490920620,1618
493131060,1620
495410120,1623
497693560,1625
500112780,1628
502485280,1139
505304540,1150
507389420,1159
509017320,1167
510840860,1175
512534460,1183
514358000,1191
516117300,1198
517810900,1206
519570200,1213
521523680,1220
523282980,1226
525042280,1233
526801580,1239
528560880,1244
530384420,1251
532207960,1256
533967260,1262
535790800,1267
537614340,1272
539437880,1277
541327120,1282
543150660,1287
545039900,1292
546929140,1296
548752680,1300
550641920,1304
552531160,1309
554420400,1312
556309640,1316
558198880,1320
560088120,1323
562041600,1326
563930840,1330
565884320,1333
567773560,1336
569727040,1338
571616280,1341
573569760,1344
575523240,1346
577476720,1349
579430200,1351
581383680,1353
583337160,1355
585290640,1357
587244120,1359
589197600,1361
591151080,1363
593104560,1365
595123740,1366
597077220,1368
599030700,1369
601049880,1370
603003360,1371
605022540,1372
606976020,1373
608995200,1374
610948680,1375
612967860,1376
614921340,1377
616940520,1378
618894000,1379
620913180,1380
622932360,1380
624885840,1381
626905020,1381
628924200,1382
630877680,1382
632896860,1382
634916040,1382
636869520,1383
638888700,1383
640907880,1383
642861360,1383
644880540,1383
646899720,1383
648918900,1383
650872380,1383
652891560,1383
654910740,1383
656929920,1383
658883400,1383
660902580,1383
662921760,1383
664875240,1383
666894420,1383
668913600,1383
670932780,1383
672886260,1383
674905440,1383
676924620,1383
678878100,1383
680907500,1383
682926680,1383
684880160,1383
686911020,1383
688930200,1383
690883680,1384
692917460,1384
694936640,1384
696955820,1385
698909300,1385
700928480,1385
702947660,1386
704966840,1386
706986020,1387
708939500,1388
710977660,1388
712996840,1389
715016020,1390
717100900,1391
719120080,1392
721139260,1393
723224140,1394
725243320,1395
727262500,1396
729281680,1397
731366560,1398
733413480,1399
735432660,1400
737486880,1402
739603880,1404
741623060,1405
743669980,1407
745689160,1409
747813460,1411
750075000,1414
752600800,1416
754649180,1419
756701940,1421
758760540,1424
760820600,1426
762886500,1429
764953860,1432
767025600,1435
769082740,1438
771163240,1442
773258340,1445
775306720,1449
777403280,1453
779505680,1456
781571580,1460
783710480,1464
785827480,1469
787951780,1473
790017680,1478
792158040,1483
794302780,1487
796389120,1492
798547000,1498
800738460,1503
802937220,1509
805143280,1514
807292400,1520
809425460,1526
811632980,1532
813783560,1539
815944360,1546
818181080,1553
820428020,1560
822685180,1567
824951100,1574
827234540,1582
829459580,1590
831759080,1598
834062960,1606
836350780,1615
838689700,1624
840974600,1633
843298920,1641
845675800,1651
848039540,1156
850817920,1172
852837100,1186
854530700,1199
856224300,1212
857983600,1225
859742900,1237
861502200,1250
863261500,1261
865085040,1273
866908580,1284
868797820,1295
870621360,1307
872510600,1318
874399840,1328
876289080,1338
878242560,1348
880196040,1358
882149520,1368
884103000,1377
886056480,1387
888075660,1396
890160540,1405
892217680,1414
894264600,1422
896388900,1430
898523420,1439
900564500,1447
902658140,1454
904719660,1462
906842500,1469
908952200,1476
911022480,1483
913232920,1490
915453580,1497
917817320,1503
919921180,1509
922102420,1515
924293880,1521
926428400,1527
928637380,1532
930787960,1538
933013000,1543
935179640,1548
937419280,1553
939666220,1558
941854760,1562
944114840,1567
946316520,1571
948589740,1575
950868800,1579
953153700,1583
955378740,1587
957673860,1590
959973360,1593
962213000,1597
964522720,1600
966836820,1603
969158220,1606
971479620,1609
973742620,1612
976074240,1614
978437980,1617
980727260,1619
983044280,1621
985345240,1623
987628680,1626
989942780,1628
992379520,1139
995134540,1149
997219420,1158
998978720,1167
1000738020,1175
1002431620,1183
1004190920,1191
1005884520,1198
1007643820,1205
1009337420,1212
1011226660,1219
1013115900,1226
1014875200,1232
1016698740,1239
1018458040,1245
1020281580,1250
1022040880,1256
1023864420,1262
1025687960,1267
1027511500,1272
1029335040,1277
1031158580,1282
1033047820,1287
1034937060,1292
1036760600,1296
1038649840,1300
1040539080,1305
1042428320,1308
1044317560,1312
1046206800,1316
1048096040,1320
1049985280,1323
1051874520,1326
1053828000,1330
1055717240,1332
1057670720,1335
1059559960,1338
1061513440,1341
1063466920,1344
1065420400,1347
1067309640,1349
1069263120,1351
1071216600,1353
1073170080,1355
1075123560,1357
1077077040,1359
1079096220,1361
1081049700,1363
1083003180,1364
1084956660,1366
1086975840,1367
1088929320,1368
1090882800,1370
1092901980,1371
1094855460,1372
1096874640,1373
1098828120,1374
1100847300,1375
1102800780,1376
1104819960,1377
1106773440,1378
1108792620,1379
1110811800,1379
1112765280,1380
1114784460,1380
1116803640,1381
1118757120,1381
1120776300,1382
1122795480,1382
1124748960,1382
1126768140,1382
1128787320,1383
1130740800,1383
1132759980,1383
1134779160,1383
1136798340,1383
1138751820,1383
1140771000,1383
1142790180,1383
1144743660,1383
1146762840,1383
1148782020,1383
1150801200,1383
1152754680,1383
1154773860,1383
1156793040,1383
1158812220,1383
1160765700,1383
1162784880,1383
1164804060,1383
1166757540,1383
1168776720,1383
1170795900,1383
1172815080,1383
1174768560,1383
