bytes_transferred,congestion_window
108040,20
108040,39
249660,73
413180,89
868700,292
1715500,496
3213460,992
5558220,1984
6990480,3529
8976080,1808
9170260,2480
11428880,1701
13871460,1215
16538880,1221
18688000,1229
20447300,1238
22206600,1246
24030140,1254
25789440,1262
27612980,1270
29436520,1277
31325760,1285
33149300,1292
35038540,1299
36862080,1306
38751320,1313
40640560,1319
42529800,1325
44483280,1331
46372520,1337
48326000,1343
50215240,1349
52168720,1355
54122200,1360
56075680,1365
58094860,1370
60048340,1375
62001820,1380
64021000,1384
66040180,1389
67993660,1393
70021600,1397
72043700,1401
74071640,1405
76105420,1409
78145040,1412
80189040,1416
82173180,1419
84225940,1422
86283080,1425
88344600,1428
90410500,1431
92480780,1434
94558360,1437
96637400,1439
98719360,1441
100804240,1444
102827800,1446
104919980,1448
107015080,1450
109113100,1452
111214040,1454
113317900,1456
115358980,1457
117467220,1459
119578380,1460
121691000,1461
123805080,1463
125920620,1464
128037620,1465
130156080,1466
132276000,1467
134397380,1468
136518760,1469
138578820,1470
140704580,1471
142831800,1471
144959020,1472
147087700,1472
149216380,1473
151346520,1473
153476660,1474
155608260,1474
157739860,1474
159871460,1474
162003060,1475
164136120,1475
166269180,1475
168402240,1475
170533840,1475
172666900,1475
174799960,1475
176933020,1475
179066080,1475
181202060,1475
183335120,1475
185498840,1475
187893240,1475
190092000,1475
192225060,1475
194489520,1475
196753980,1475
198887040,1475
201044920,1475
203202800,1475
205492080,1475
207715660,1475
210110060,1475
212399340,1475
214622920,1475
216887380,1475
219086140,1475
221284900,1476
223419420,1476
225553940,1476
227688460,1477
229824440,1477
231960420,1477
234096400,1478
236233840,1479
238372740,1479
240511640,1480
242650540,1481
244792360,1481
246934180,1482
249077460,1483
251222200,1484
253368400,1485
255516060,1486
257665180,1487
259815760,1488
261967800,1489
264121300,1490
266276260,1492
268369900,1494
270530700,1495
272692960,1497
274858140,1499
277026240,1501
279197260,1503
281306960,1505
283483820,1507
285663600,1509
287852140,1512
290042140,1514
292235060,1517
294427980,1519
296559580,1522
298761260,1525
300967320,1529
303177760,1532
305328340,1536
307550460,1539
309776960,1542
312007840,1546
314178860,1550
316421420,1554
318672740,1559
320862740,1563
323130120,1568
325398960,1573
327699920,1578
330047600,1583
332408420,1588
334824720,1594
337195760,1600
339666080,1606
342145160,1612
344640300,1128
347404080,1146
349423260,1160
351116860,1175
