bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,26
560640,52
591300,97
689120,194
1222020,388
2303880,776
4533300,1552
6453200,3104
7952620,4409
10967520,1184
13459740,3096
14807320,3096
17544820,1397
19955280,2174
21754000,2187
24422880,1440
26808520,1539
28969320,1549
31143260,1559
33333260,1569
35603560,1579
37822760,1588
40055100,1598
42302040,1607
44626360,1616
46899580,1625
49226820,1633
51523400,1641
53831660,1649
56151600,1657
58528480,1665
60807540,1672
63242820,1170
65975940,1181
67995120,1190
69688720,1198
71448020,1207
73141620,1214
74900920,1222
76660220,1230
78419520,1237
80243060,1244
82002360,1251
83825900,1258
85649440,1264
87408740,1271
89297980,1277
91121520,1283
92945060,1289
94834300,1294
96723540,1300
98547080,1305
100436320,1311
102325560,1316
104214800,1321
106168280,1325
108057520,1330
109946760,1334
111900240,1338
113789480,1342
115742960,1346
117696440,1350
119649920,1354
121603400,1358
123556880,1361
125510360,1365
127463840,1368
129483020,1371
131436500,1374
133455680,1377
135409160,1380
137428340,1382
139381820,1385
141401000,1387
143420180,1389
145439360,1392
147458540,1394
149477720,1396
151496900,1398
153450380,1400
155519200,1402
157617220,1403
159671440,1405
161690620,1406
163740460,1407
165759640,1408
167815320,1409
169854940,1410
171830320,1411
173937100,1412
175915400,1413
177959400,1414
180004860,1415
182051780,1416
184100160,1417
186217160,1418
188227580,1418
190278880,1419
192331640,1419
194448640,1420
196527680,1420
198581900,1420
200636120,1420
202690340,1421
204746020,1421
206801700,1421
208857380,1421
210913060,1421
212968740,1421
215024420,1421
217080100,1421
219135780,1421
221191460,1421
223247140,1421
225302820,1421
227358500,1421
229414180,1421
231469860,1421
233525540,1421
235581220,1421
237636900,1421
239692580,1421
241748260,1421
243803940,1421
245859620,1421
247915300,1421
249970980,1421
252026660,1421
254082340,1421
256138020,1421
258193700,1422
260250840,1422
262307980,1422
264365120,1423
266426640,1423
268485240,1423
270611000,1424
272652080,1424
274779300,1425
276824760,1426
278968040,1426
281012040,1427
283206420,1428
285359920,1429
287514880,1430
289647940,1431
291805820,1432
293877560,1433
295977040,1434
298250260,1435
300675320,1436
302817140,1437
304919540,1439
307024860,1441
309112660,1442
311222360,1444
313334980,1446
315427160,1448
317522260,1450
319623200,1452
321769400,1455
323833840,1457
325942080,1460
328057620,1462
330173160,1465
332230300,1468
334356060,1471
336483280,1474
338614880,1477
340750860,1480
342851800,1484
344998000,1487
347148580,1491
349239300,1495
351401560,1499
353569660,1503
355679360,1507
357821180,1512
360073960,1517
362227460,1522
364429140,1527
366662940,1532
368879220,1537
371102800,1542
373270900,1548
375510540,1554
377751640,1560
380008800,1566
382274720,1572
384486620,1579
386771520,1586
389000940,1592
391239120,1599
393551760,1607
395814760,1614
398149300,1622
400431280,1630
402789180,1638
405093060,1647
407440740,1655
409805940,1158
412587240,1174
414606420,1189
416300020,1202
418059320,1215
419752920,1228
421576460,1240
423335760,1252
425095060,1264
426918600,1276
428807840,1288
430631380,1298
432520620,1310
434605500,1322
436494740,1332
438513920,1343
440467400,1353
442420880,1363
444374360,1373
446459240,1383
448412720,1392
450431900,1401
452451080,1409
454693640,1419
456723040,1427
458787480,1435
460863600,1443
462885700,1451
464919480,1458
467027720,1466
469147640,1473
471213540,1480
473353900,1487
475438780,1494
477535340,1500
479704900,1507
481820440,1513
484008980,1519
486140580,1525
488346640,1530
490560000,1536
492716420,1542
494947300,1547
497119780,1552
499365260,1557
501552340,1561
503810960,1566
506076880,1571
508284400,1575
510563460,1579
512848360,1583
515073400,1587
517368520,1590
519668020,1594
521907660,1598
524218840,1601
526534400,1604
528854340,1607
531114420,1610
533443120,1612
535773280,1615
538100520,1618
540513900,1620
542792960,1623
545083700,1625
547437220,1628
549798040,1630
552198280,1632
554637940,1142
557576920,1153
559661800,1162
